id,name,region
1,Frontal_Sup_L,frontal_lobe
2,Frontal_Sup_R,frontal_lobe
3,Frontal_Mid_L,frontal_lobe
4,Frontal_Mid_R,frontal_lobe
7,Frontal_Mid_Orb_L,frontal_lobe
8,Frontal_Mid_Orb_R,frontal_lobe
5,Frontal_Sup_Medial_L,frontal_lobe
6,Frontal_Sup_Medial_R,frontal_lobe
9,Rectus_L,frontal_lobe
10,Rectus_R,frontal_lobe
11,Cingulum_Ant_L,frontal_lobe
12,Cingulum_Ant_R,frontal_lobe
19,Cingulum_Post_L,parietal_lobe
20,Cingulum_Post_R,parietal_lobe
39,Hippocampus_L,temporal_lobe
40,Hippocampus_R,temporal_lobe
41,ParaHippocampal_L,temporal_lobe
42,ParaHippocampal_R,temporal_lobe
21,Occipital_Sup_L,occipital_lobe
22,Occipital_Sup_R,occipital_lobe
23,Occipital_Mid_L,occipital_lobe
24,Occipital_Mid_R,occipital_lobe
25,Occipital_Inf_L,occipital_lobe
26,Occipital_Inf_R,occipital_lobe
37,Fusiform_L,temporal_lobe
38,Fusiform_R,temporal_lobe
13,Parietal_Sup_L,parietal_lobe
14,Parietal_Sup_R,parietal_lobe
15,Parietal_Inf_L,parietal_lobe
16,Parietal_Inf_R,parietal_lobe
17,Precuneus_L,parietal_lobe
18,Precuneus_R,parietal_lobe
27,Temporal_Sup_L,temporal_lobe
28,Temporal_Sup_R,temporal_lobe
29,Temporal_Pole_Sup_L,temporal_lobe
30,Temporal_Pole_Sup_R,temporal_lobe
31,Temporal_Mid_L,temporal_lobe
32,Temporal_Mid_R,temporal_lobe
33,Temporal_Pole_Mid_L,temporal_lobe
34,Temporal_Pole_Mid_R,temporal_lobe
35,Temporal_Inf_L8301,temporal_lobe
36,Temporal_Inf_R8302,temporal_lobe
